sample,time,window,precision,modulation,band,rx,sleep,period,measured
544,19:06.4,2,1.00E-07,0,47,26438,15663,sleep,0.242646512
545,19:06.4,2,1.00E-07,0,47,26438,15663,rx,0.40850982
546,20:00.2,2,1.00E-07,0,25,21007,12540,setup,8.62E-05
547,20:00.2,2,1.00E-07,0,25,21007,12540,rx,0.324600216
548,20:00.2,2,1.00E-07,0,25,21007,12540,sleep,0.19439121
549,20:00.2,2,1.00E-07,0,25,21007,12540,rx,0.324572016
550,20:00.2,2,1.00E-07,0,25,21007,12540,sleep,0.19436481
551,20:00.2,2,1.00E-07,0,25,21007,12540,rx,0.324559116
552,20:00.2,2,1.00E-07,0,25,21007,12540,sleep,0.19436071
553,20:56.5,2,1.00E-07,2,47,23568,31901,setup,8.62E-05
554,20:56.5,2,1.00E-07,2,47,23568,31901,rx,0.364235018
555,20:56.5,2,1.00E-07,2,47,23568,31901,sleep,0.493665825
556,20:56.5,2,1.00E-07,2,47,23568,31901,rx,0.364270418
557,20:56.5,2,1.00E-07,2,47,23568,31901,sleep,0.493578125
558,21:52.0,2,1.00E-07,7,34,27788,23658,setup,8.63E-05
559,21:52.0,2,1.00E-07,7,34,27788,23658,rx,0.429499321
560,21:52.0,2,1.00E-07,7,34,27788,23658,sleep,0.366334818
561,21:52.0,2,1.00E-07,7,34,27788,23658,rx,0.429637321
562,21:52.0,2,1.00E-07,7,34,27788,23658,sleep,0.366378218
563,22:44.3,2,1.00E-07,6,29,7562,26962,setup,8.63E-05
564,22:44.3,2,1.00E-07,6,29,7562,26962,rx,0.116891806
565,22:44.3,2,1.00E-07,6,29,7562,26962,sleep,0.417241321
566,22:44.3,2,1.00E-07,6,29,7562,26962,rx,0.116869606
567,22:44.3,2,1.00E-07,6,29,7562,26962,sleep,0.417247021
568,22:44.3,2,1.00E-07,6,29,7562,26962,rx,0.116882606
569,22:44.3,2,1.00E-07,6,29,7562,26962,sleep,0.417271521
570,22:44.3,2,1.00E-07,6,29,7562,26962,rx,0.116883406
571,23:35.6,2,1.00E-07,4,2,29500,19522,setup,8.63E-05
572,23:35.6,2,1.00E-07,4,2,29500,19522,rx,0.455978423
573,23:35.6,2,1.00E-07,4,2,29500,19522,sleep,0.302420915
574,23:35.6,2,1.00E-07,4,2,29500,19522,rx,0.455919823
575,23:35.6,2,1.00E-07,4,2,29500,19522,sleep,0.302342415
576,24:28.3,2,1.00E-07,2,10,29863,16588,setup,8.62E-05
577,24:28.3,2,1.00E-07,2,10,29863,16588,rx,0.461376723
578,24:28.3,2,1.00E-07,2,10,29863,16588,sleep,0.256909413
579,24:28.3,2,1.00E-07,2,10,29863,16588,rx,0.461376023
580,24:28.3,2,1.00E-07,2,10,29863,16588,sleep,0.256927813
581,25:21.3,2,1.00E-07,2,45,16810,31058,setup,8.63E-05
582,25:21.3,2,1.00E-07,2,45,16810,31058,rx,0.259773013
583,25:21.3,2,1.00E-07,2,45,16810,31058,sleep,0.480663724
584,25:21.3,2,1.00E-07,2,45,16810,31058,rx,0.259830513
585,25:21.3,2,1.00E-07,2,45,16810,31058,sleep,0.480685024
586,25:21.3,2,1.00E-07,2,45,16810,31058,rx,0.259880713
587,26:14.8,2,1.00E-07,0,27,11207,25992,setup,8.62E-05
588,26:14.8,2,1.00E-07,0,27,11207,25992,rx,0.173308909
589,26:14.8,2,1.00E-07,0,27,11207,25992,sleep,0.40247022
590,26:14.8,2,1.00E-07,0,27,11207,25992,rx,0.173300809
591,26:14.8,2,1.00E-07,0,27,11207,25992,sleep,0.40241352
592,26:14.8,2,1.00E-07,0,27,11207,25992,rx,0.173238509
593,26:14.8,2,1.00E-07,0,27,11207,25992,sleep,0.40245302
594,27:08.4,2,1.00E-07,2,33,18444,27748,setup,8.62E-05
595,27:08.4,2,1.00E-07,2,33,18444,27748,rx,0.285064614
596,27:08.4,2,1.00E-07,2,33,18444,27748,sleep,0.429453321
597,27:08.4,2,1.00E-07,2,33,18444,27748,rx,0.285089114
598,27:08.4,2,1.00E-07,2,33,18444,27748,sleep,0.429450321
599,27:08.4,2,1.00E-07,2,33,18444,27748,rx,0.285096414
600,28:00.7,2,1.00E-07,1,25,5119,8058,setup,8.62E-05
601,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079161204
602,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125171806
603,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079145004
604,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125161906
605,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079141604
606,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125185306
607,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079142404
608,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125161706
609,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079135404
610,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125152506
611,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079138504
612,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125162906
613,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079138904
614,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125169906
615,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079147904
616,28:00.7,2,1.00E-07,1,25,5119,8058,sleep,0.125170806
617,28:00.7,2,1.00E-07,1,25,5119,8058,rx,0.079138804
618,28:55.5,2,1.00E-07,6,22,21009,23804,setup,8.62E-05
619,28:55.5,2,1.00E-07,6,22,21009,23804,rx,0.324718916
620,28:55.5,2,1.00E-07,6,22,21009,23804,sleep,0.368521418
621,28:55.5,2,1.00E-07,6,22,21009,23804,rx,0.324681916
622,28:55.5,2,1.00E-07,6,22,21009,23804,sleep,0.368504718
623,28:55.5,2,1.00E-07,6,22,21009,23804,rx,0.324665116
624,29:45.9,2,1.00E-07,5,28,15441,3206,setup,8.62E-05
625,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238731512
626,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050181903
627,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238652812
628,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050179303
629,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238659912
630,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050186303
631,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238706712
632,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050187503
633,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238667912
634,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050185103
635,29:45.9,2,1.00E-07,5,28,15441,3206,rx,0.238693112
636,29:45.9,2,1.00E-07,5,28,15441,3206,sleep,0.050175503
637,30:36.4,2,1.00E-07,7,51,27697,8656,setup,8.62E-05
638,30:36.4,2,1.00E-07,7,51,27697,8656,rx,0.428011521
639,30:36.4,2,1.00E-07,7,51,27697,8656,sleep,0.134401007
640,30:36.4,2,1.00E-07,7,51,27697,8656,rx,0.428002621
641,30:36.4,2,1.00E-07,7,51,27697,8656,sleep,0.134402507
642,30:36.4,2,1.00E-07,7,51,27697,8656,rx,0.428030321
643,30:36.4,2,1.00E-07,7,51,27697,8656,sleep,0.134406607
644,31:28.9,2,1.00E-07,2,28,29898,22969,setup,8.62E-05
645,31:28.9,2,1.00E-07,2,28,29898,22969,rx,0.462077623
646,31:28.9,2,1.00E-07,2,28,29898,22969,sleep,0.355595018
647,31:28.9,2,1.00E-07,2,28,29898,22969,rx,0.462081023
648,31:28.9,2,1.00E-07,2,28,29898,22969,sleep,0.355675218
649,32:22.1,2,1.00E-07,2,31,20565,19736,setup,8.62E-05
650,32:22.1,2,1.00E-07,2,31,20565,19736,rx,0.317823616
651,32:22.1,2,1.00E-07,2,31,20565,19736,sleep,0.305700115
652,32:22.1,2,1.00E-07,2,31,20565,19736,rx,0.317848716
653,32:22.1,2,1.00E-07,2,31,20565,19736,sleep,0.305620915
654,32:22.1,2,1.00E-07,2,31,20565,19736,rx,0.317863716
655,33:12.2,2,1.00E-07,4,48,25713,30237,setup,8.62E-05
656,33:12.2,2,1.00E-07,4,48,25713,30237,rx,0.39748642
657,33:12.2,2,1.00E-07,4,48,25713,30237,sleep,0.468029823
658,33:12.2,2,1.00E-07,4,48,25713,30237,rx,0.39756382
659,33:12.2,2,1.00E-07,4,48,25713,30237,sleep,0.468107323
660,34:03.7,2,1.00E-07,6,7,16766,5691,setup,8.62E-05
661,34:03.7,2,1.00E-07,6,7,16766,5691,rx,0.259133313
662,34:03.7,2,1.00E-07,6,7,16766,5691,sleep,0.088599704
663,34:03.7,2,1.00E-07,6,7,16766,5691,rx,0.259158713
664,34:03.7,2,1.00E-07,6,7,16766,5691,sleep,0.088628604
665,34:03.7,2,1.00E-07,6,7,16766,5691,rx,0.259156713
666,34:03.7,2,1.00E-07,6,7,16766,5691,sleep,0.088607504
667,34:03.7,2,1.00E-07,6,7,16766,5691,rx,0.259134613
668,34:03.7,2,1.00E-07,6,7,16766,5691,sleep,0.088599504
669,34:03.7,2,1.00E-07,6,7,16766,5691,rx,0.259195813
670,34:03.7,2,1.00E-07,6,7,16766,5691,sleep,0.088623504
671,34:56.1,2,1.00E-07,6,19,690,24848,setup,8.62E-05
672,34:56.1,2,1.00E-07,6,19,690,24848,rx,0.010696801
673,34:56.1,2,1.00E-07,6,19,690,24848,sleep,0.384876219
674,34:56.1,2,1.00E-07,6,19,690,24848,rx,0.010702801
675,34:56.1,2,1.00E-07,6,19,690,24848,sleep,0.384846219
676,34:56.2,2,1.00E-07,6,19,690,24848,rx,0.010694101
677,34:56.2,2,1.00E-07,6,19,690,24848,sleep,0.384608919
678,34:56.2,2,1.00E-07,6,19,690,24848,rx,0.010701101
679,34:56.2,2,1.00E-07,6,19,690,24848,sleep,0.384752619
680,34:56.2,2,1.00E-07,6,19,690,24848,rx,0.010695501
681,35:46.4,2,1.00E-07,7,10,30092,9661,setup,8.62E-05
682,35:46.4,2,1.00E-07,7,10,30092,9661,rx,0.465299023
683,35:46.4,2,1.00E-07,7,10,30092,9661,sleep,0.150019208
684,35:46.4,2,1.00E-07,7,10,30092,9661,rx,0.465311623
685,35:46.4,2,1.00E-07,7,10,30092,9661,sleep,0.150028008
686,35:46.4,2,1.00E-07,7,10,30092,9661,rx,0.465317323
687,36:38.7,2,1.00E-07,2,32,6708,25435,setup,8.63E-05
688,36:38.7,2,1.00E-07,2,32,6708,25435,rx,0.103711805
689,36:38.7,2,1.00E-07,2,32,6708,25435,sleep,0.39385462
690,36:38.7,2,1.00E-07,2,32,6708,25435,rx,0.103742605
691,36:38.7,2,1.00E-07,2,32,6708,25435,sleep,0.39381322
692,36:38.7,2,1.00E-07,2,32,6708,25435,rx,0.103741305
693,36:38.7,2,1.00E-07,2,32,6708,25435,sleep,0.39386852
694,36:38.7,2,1.00E-07,2,32,6708,25435,rx,0.103720105
695,37:31.2,2,1.00E-07,0,31,10320,29375,setup,8.62E-05
696,37:31.2,2,1.00E-07,0,31,10320,29375,rx,0.159560808
697,37:31.2,2,1.00E-07,0,31,10320,29375,sleep,0.454872223
698,37:31.2,2,1.00E-07,0,31,10320,29375,rx,0.159589808
699,37:31.2,2,1.00E-07,0,31,10320,29375,sleep,0.454783823
700,37:31.2,2,1.00E-07,0,31,10320,29375,rx,0.159576108
701,38:24.6,2,1.00E-07,7,22,5984,8139,setup,8.63E-05
702,38:24.6,2,1.00E-07,7,22,5984,8139,rx,0.092559005
703,38:24.6,2,1.00E-07,7,22,5984,8139,sleep,0.126521106
704,38:24.6,2,1.00E-07,7,22,5984,8139,rx,0.092562805
705,38:24.6,2,1.00E-07,7,22,5984,8139,sleep,0.126468406
706,38:24.6,2,1.00E-07,7,22,5984,8139,rx,0.092563805
707,38:24.6,2,1.00E-07,7,22,5984,8139,sleep,0.126473806
708,38:24.7,2,1.00E-07,7,22,5984,8139,rx,0.092557605
709,38:24.7,2,1.00E-07,7,22,5984,8139,sleep,0.126480206
710,38:24.7,2,1.00E-07,7,22,5984,8139,rx,0.092561505
711,38:24.7,2,1.00E-07,7,22,5984,8139,sleep,0.126526206
712,38:24.7,2,1.00E-07,7,22,5984,8139,rx,0.092579705
713,38:24.7,2,1.00E-07,7,22,5984,8139,sleep,0.126468806
714,38:24.7,2,1.00E-07,7,22,5984,8139,rx,0.092575905
715,38:24.7,2,1.00E-07,7,22,5984,8139,sleep,0.126489206
716,38:24.7,2,1.00E-07,7,22,5984,8139,rx,0.092573905
717,38:24.7,2,1.00E-07,7,22,5984,8139,sleep,0.126490306
718,39:19.0,2,1.00E-07,4,11,5653,16693,setup,8.62E-05
719,39:19.1,2,1.00E-07,4,11,5653,16693,rx,0.087402104
720,39:19.1,2,1.00E-07,4,11,5653,16693,sleep,0.258640713
721,39:19.1,2,1.00E-07,4,11,5653,16693,rx,0.087403404
722,39:19.1,2,1.00E-07,4,11,5653,16693,sleep,0.258629513
723,39:19.1,2,1.00E-07,4,11,5653,16693,rx,0.087391104
724,39:19.1,2,1.00E-07,4,11,5653,16693,sleep,0.258588613
725,39:19.1,2,1.00E-07,4,11,5653,16693,rx,0.087399904
726,39:19.1,2,1.00E-07,4,11,5653,16693,sleep,0.258640613
727,39:19.1,2,1.00E-07,4,11,5653,16693,rx,0.087386304
728,39:19.1,2,1.00E-07,4,11,5653,16693,sleep,0.258606813
729,40:09.6,2,1.00E-07,0,9,23743,23618,setup,8.63E-05
730,40:09.6,2,1.00E-07,0,9,23743,23618,rx,0.366998818
731,40:09.6,2,1.00E-07,0,9,23743,23618,sleep,0.365718518
732,40:09.6,2,1.00E-07,0,9,23743,23618,rx,0.366987618
733,40:09.6,2,1.00E-07,0,9,23743,23618,sleep,0.365618118
734,41:01.7,2,1.00E-07,3,31,21807,27256,setup,8.62E-05
735,41:01.8,2,1.00E-07,3,31,21807,27256,rx,0.337193917
736,41:01.8,2,1.00E-07,3,31,21807,27256,sleep,0.422069121
737,41:01.8,2,1.00E-07,3,31,21807,27256,rx,0.337154717
738,41:01.8,2,1.00E-07,3,31,21807,27256,sleep,0.421986921
739,41:54.0,2,1.00E-07,6,12,16218,31346,setup,8.61E-05
740,41:54.0,2,1.00E-07,6,12,16218,31346,rx,0.250708813
741,41:54.0,2,1.00E-07,6,12,16218,31346,sleep,0.485206424
742,41:54.0,2,1.00E-07,6,12,16218,31346,rx,0.250643813
743,41:54.0,2,1.00E-07,6,12,16218,31346,sleep,0.485081024
744,41:54.0,2,1.00E-07,6,12,16218,31346,rx,0.250664913
745,42:46.0,2,1.00E-07,7,43,17468,386,setup,8.63E-05
746,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269963313
747,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0065996
748,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269967713
749,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0065995
750,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269918413
751,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0065981
752,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269956413
753,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0066002
754,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269912113
755,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0065977
756,42:46.0,2,1.00E-07,7,43,17468,386,rx,0.269910213
757,42:46.0,2,1.00E-07,7,43,17468,386,sleep,0.0065977
758,43:39.0,2,1.00E-07,1,5,16055,25965,setup,8.62E-05
759,43:39.0,2,1.00E-07,1,5,16055,25965,rx,0.248161012
760,43:39.0,2,1.00E-07,1,5,16055,25965,sleep,0.40195442
761,43:39.0,2,1.00E-07,1,5,16055,25965,rx,0.248123712
762,43:39.1,2,1.00E-07,1,5,16055,25965,sleep,0.40194542
763,43:39.1,2,1.00E-07,1,5,16055,25965,rx,0.248158012
764,44:32.4,2,1.00E-07,3,19,17830,20415,setup,8.62E-05
765,44:32.4,2,1.00E-07,3,19,17830,20415,rx,0.275627014
766,44:32.4,2,1.00E-07,3,19,17830,20415,sleep,0.316120916
767,44:32.4,2,1.00E-07,3,19,17830,20415,rx,0.275613814
768,44:32.4,2,1.00E-07,3,19,17830,20415,sleep,0.316125316
769,44:32.4,2,1.00E-07,3,19,17830,20415,rx,0.275549314
770,44:32.4,2,1.00E-07,3,19,17830,20415,sleep,0.316169016
771,45:25.5,2,1.00E-07,2,42,15390,29284,setup,8.62E-05
772,45:25.5,2,1.00E-07,2,42,15390,29284,rx,0.237908912
773,45:25.5,2,1.00E-07,2,42,15390,29284,sleep,0.453220923
774,45:25.5,2,1.00E-07,2,42,15390,29284,rx,0.237944612
775,45:25.5,2,1.00E-07,2,42,15390,29284,sleep,0.453330323
776,45:25.5,2,1.00E-07,2,42,15390,29284,rx,0.237871912
777,46:19.0,2,1.00E-07,6,49,9239,21606,setup,8.62E-05
778,46:19.0,2,1.00E-07,6,49,9239,21606,rx,0.142821807
779,46:19.0,2,1.00E-07,6,49,9239,21606,sleep,0.334619317
780,46:19.0,2,1.00E-07,6,49,9239,21606,rx,0.142861607
781,46:19.0,2,1.00E-07,6,49,9239,21606,sleep,0.334644517
782,46:19.0,2,1.00E-07,6,49,9239,21606,rx,0.142858707
783,46:19.0,2,1.00E-07,6,49,9239,21606,sleep,0.334625217
784,46:19.0,2,1.00E-07,6,49,9239,21606,rx,0.142859107
785,47:11.9,2,1.00E-07,5,49,17950,271,setup,8.62E-05
786,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277449114
787,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.0048231
788,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277421914
789,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.0048225
790,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277421014
791,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.0048235
792,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277496714
793,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.0048226
794,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277544414
795,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.004824
796,47:11.9,2,1.00E-07,5,49,17950,271,rx,0.277555714
797,47:11.9,2,1.00E-07,5,49,17950,271,sleep,0.0048246
798,48:05.4,2,1.00E-07,4,43,25657,1033,setup,8.62E-05
799,48:05.4,2,1.00E-07,4,43,25657,1033,rx,0.39646872
800,48:05.4,2,1.00E-07,4,43,25657,1033,sleep,0.016590901
801,48:05.4,2,1.00E-07,4,43,25657,1033,rx,0.39638192
802,48:05.4,2,1.00E-07,4,43,25657,1033,sleep,0.016591901
803,48:05.4,2,1.00E-07,4,43,25657,1033,rx,0.39632012
804,48:05.4,2,1.00E-07,4,43,25657,1033,sleep,0.016588801
805,48:05.4,2,1.00E-07,4,43,25657,1033,rx,0.39634792
806,48:05.4,2,1.00E-07,4,43,25657,1033,sleep,0.016594101
807,48:58.2,2,1.00E-07,3,19,4856,24818,setup,8.62E-05
808,48:58.2,2,1.00E-07,3,19,4856,24818,rx,0.075056204
809,48:58.2,2,1.00E-07,3,19,4856,24818,sleep,0.384158619
810,48:58.2,2,1.00E-07,3,19,4856,24818,rx,0.075071304
811,48:58.2,2,1.00E-07,3,19,4856,24818,sleep,0.384091719
812,48:58.2,2,1.00E-07,3,19,4856,24818,rx,0.075082004
813,48:58.2,2,1.00E-07,3,19,4856,24818,sleep,0.384165919
814,48:58.2,2,1.00E-07,3,19,4856,24818,rx,0.075077304
815,49:50.0,2,1.00E-07,0,7,3848,5341,setup,8.62E-05
