sample,time,window,precision,modulation,band,power,payload,measured
0,16:54.4,0.1,1.00E-07,3,33,-6,15,0.06992607
1,16:57.9,0.04,4.00E-08,5,12,2,18,0.017593978
2,16:59.3,0.001,1.00E-07,9,15,16,2,0.000385839
3,17:03.1,0.1,1.00E-07,3,9,-2,15,0.06992457
4,17:06.8,0.04,4.00E-08,5,28,11,8,0.017594898
5,17:08.1,0.001,1.00E-07,9,0,16,4,0.000386339
6,17:11.9,0.1,1.00E-07,3,32,7,20,0.06992507
7,17:13.3,0.001,1.00E-07,9,31,2,15,0.000386439
8,17:17.0,0.1,1.00E-07,3,17,15,5,0.06992557
9,17:21.1,0.1,1.00E-07,3,2,14,1,0.06992237
10,17:25.0,0.04,4.00E-08,5,51,0,18,0.017593858
65,19:49.7,0.01,1.00E-07,7,50,2,4,
218,26:41.4,0.01,1.00E-07,7,49,16,9,0.007174972
13,17:32.0,0.04,4.00E-08,5,10,-10,7,0.017597178
14,17:33.4,0.001,1.00E-07,9,34,-3,16,0.000385839
15,17:37.5,0.1,1.00E-07,3,32,14,9,0.06992327
16,17:41.4,0.1,1.00E-07,3,29,22,13,0.06992237
17,17:45.6,0.1,1.00E-07,3,47,-3,7,0.06992297
18,17:47.0,0.001,1.00E-07,9,18,-1,11,0.000387339
19,17:51.0,0.1,1.00E-07,3,19,-10,14,0.06992237
20,17:55.2,0.1,1.00E-07,3,26,9,1,0.06992237
12,17:28.2,0.01,1.00E-07,7,33,15,4,0.007174772
22,18:00.9,0.1,1.00E-07,3,15,-10,5,0.06992217
23,18:05.0,0.04,4.00E-08,5,2,-7,6,0.017596698
24,18:06.4,0.001,1.00E-07,9,40,-14,18,
25,18:10.0,0.1,1.00E-07,3,11,20,4,0.06992197
26,18:13.7,0.04,4.00E-08,5,4,-13,13,0.017594418
27,18:17.7,0.1,1.00E-07,3,7,5,18,0.06992397
28,18:21.5,0.04,4.00E-08,5,34,6,19,0.017594898
29,18:24.7,0.1,1.00E-07,3,24,-1,4,0.06992637
99,21:12.0,0.01,1.00E-07,7,37,-5,6,0.007174372
31,18:29.9,0.1,1.00E-07,3,2,-2,14,0.06992267
66,19:51.3,0.01,1.00E-07,7,21,3,3,0.007174272
33,18:35.5,0.1,1.00E-07,3,40,-13,6,0.06992317
34,18:38.8,0.04,4.00E-08,5,27,-15,19,0.017595058
35,18:42.6,0.04,4.00E-08,5,0,-2,7,0.017594498
329,31:26.3,0.01,1.00E-07,7,10,0,9,0.007173972
336,31:49.2,0.01,1.00E-07,7,46,12,20,0.007173772
38,18:49.6,0.1,1.00E-07,3,11,16,19,0.06992207
39,18:53.4,0.1,1.00E-07,3,28,-6,1,0.06992227
40,18:57.2,0.1,1.00E-07,3,8,-11,20,0.06992397
41,19:01.2,0.1,1.00E-07,3,37,-6,8,0.06992197
42,19:04.8,0.04,4.00E-08,5,44,-5,1,0.017596978
43,19:06.2,0.001,1.00E-07,9,12,-3,2,0.000385739
44,19:10.4,0.1,1.00E-07,3,15,-7,5,0.06992267
45,19:14.4,0.04,4.00E-08,5,27,13,15,0.017594458
363,32:59.0,0.01,1.00E-07,7,4,17,5,0.007173772
47,19:20.3,0.1,1.00E-07,3,33,-6,2,0.06992467
48,19:21.7,0.001,1.00E-07,9,11,1,16,0.000385839
81,20:18.5,0.01,1.00E-07,7,44,-12,15,0.007173572
50,19:24.5,0.001,1.00E-07,9,34,-5,10,0.000386039
51,19:25.8,0.001,1.00E-07,9,35,-3,20,0.000385839
52,19:29.3,0.1,1.00E-07,3,21,16,1,0.06992537
53,19:30.7,0.001,1.00E-07,9,17,6,19,0.000385739
54,19:34.3,0.1,1.00E-07,3,14,-8,15,0.06992177
283,29:33.0,0.01,1.00E-07,7,19,19,6,0.007173572
284,29:34.5,0.01,1.00E-07,7,46,3,12,0.007173472
57,19:38.8,0.001,1.00E-07,9,15,-14,8,0.000386639
58,19:40.1,0.001,1.00E-07,9,28,10,18,0.000385239
59,19:41.4,0.001,1.00E-07,9,39,13,5,0.000385339
60,19:42.6,0.001,1.00E-07,9,2,-6,11,0.000385739
352,32:29.2,0.01,1.00E-07,7,6,12,13,0.007173372
62,19:45.5,0.001,1.00E-07,9,25,3,16,0.000386339
63,19:46.8,0.001,1.00E-07,9,33,-4,17,0.000385139
64,19:48.1,0.001,1.00E-07,9,32,-16,10,0.000385439
398,34:35.5,0.01,1.00E-07,7,37,-4,20,0.007173372
154,24:02.8,0.01,1.00E-07,7,6,20,11,0.007173272
67,19:52.6,0.001,1.00E-07,9,11,-14,11,
251,28:08.5,0.01,1.00E-07,7,11,-4,20,0.007173272
392,34:18.6,0.01,1.00E-07,7,32,4,11,0.007173272
181,25:06.0,0.01,1.00E-07,7,14,11,9,0.007173172
253,28:13.7,0.01,1.00E-07,7,5,-11,6,0.007173172
72,20:02.8,0.1,1.00E-07,3,50,-11,1,0.06992227
73,20:06.5,0.1,1.00E-07,3,7,16,12,0.06992397
11,17:26.6,0.01,1.00E-07,7,27,-3,10,0.007173072
75,20:09.3,0.001,1.00E-07,9,6,9,16,0.000387939
297,30:09.4,0.01,1.00E-07,7,6,-16,16,0.007172872
100,21:13.5,0.01,1.00E-07,7,25,-3,2,0.007172772
103,21:23.2,0.01,1.00E-07,7,9,21,11,0.007172772
46,19:16.1,0.01,1.00E-07,7,38,14,2,0.007172572
80,20:17.0,0.001,1.00E-07,9,24,14,4,0.000386939
385,33:58.4,0.01,1.00E-07,7,7,-13,18,0.007172572
82,20:19.8,0.001,1.00E-07,9,16,-16,18,0.000386839
83,20:23.8,0.1,1.00E-07,3,50,-8,10,0.06992297
110,21:45.5,0.01,1.00E-07,7,16,-16,14,0.007172372
85,20:29.0,0.1,1.00E-07,3,6,22,8,0.06992367
86,20:30.4,0.001,1.00E-07,9,28,-16,0,0.000386139
87,20:33.7,0.1,1.00E-07,3,44,10,3,0.06992377
180,25:04.4,0.01,1.00E-07,7,48,-13,0,0.007172372
89,20:39.4,0.1,1.00E-07,3,4,-14,13,0.06992177
90,20:43.0,0.1,1.00E-07,3,30,8,16,0.06992277
91,20:46.6,0.1,1.00E-07,3,42,-9,3,0.06992257
92,20:49.9,0.04,4.00E-08,5,17,1,18,0.017597098
93,20:53.9,0.04,4.00E-08,5,12,-12,18,0.017597458
94,20:58.1,0.1,1.00E-07,3,43,14,20,0.06992187
95,21:01.8,0.04,4.00E-08,5,7,-7,8,0.017595018
96,21:05.4,0.04,4.00E-08,5,0,12,14,0.017597218
97,21:08.9,0.04,4.00E-08,5,43,16,20,0.017593938
98,21:10.3,0.001,1.00E-07,9,10,6,18,0.000386339
36,18:44.2,0.01,1.00E-07,7,6,7,18,0.007172172
71,19:58.9,0.01,1.00E-07,7,39,-2,10,0.007172172
101,21:17.4,0.04,4.00E-08,5,25,14,12,0.017594978
102,21:21.6,0.04,4.00E-08,5,17,11,6,0.017594778
122,22:17.2,0.01,1.00E-07,7,4,21,5,0.007172172
104,21:27.6,0.1,1.00E-07,3,17,14,4,0.06992347
105,21:31.0,0.04,4.00E-08,5,10,-3,5,0.017596538
106,21:35.2,0.04,4.00E-08,5,14,-3,20,0.017594458
107,21:36.6,0.001,1.00E-07,9,2,-10,12,0.000386139
108,21:40.2,0.04,4.00E-08,5,36,-1,20,0.017594338
109,21:43.9,0.1,1.00E-07,3,10,9,0,0.06992407
69,19:55.7,0.01,1.00E-07,7,14,12,18,0.007171972
111,21:49.4,0.04,4.00E-08,5,43,-10,19,0.017594418
70,19:57.3,0.01,1.00E-07,7,7,11,9,0.007171972
113,21:54.8,0.04,4.00E-08,5,27,13,16,0.017594818
114,21:56.2,0.001,1.00E-07,9,24,-15,17,0.000385339
115,21:57.5,0.001,1.00E-07,9,4,-17,14,0.000385839
116,22:01.6,0.1,1.00E-07,3,23,-8,4,0.06992547
117,22:05.5,0.04,4.00E-08,5,2,-7,6,0.017594418
118,22:08.8,0.1,1.00E-07,3,48,17,14,0.06992257
119,22:10.2,0.001,1.00E-07,9,46,14,3,0.000387939
241,27:42.2,0.01,1.00E-07,7,43,-12,9,0.007171972
121,22:15.6,0.04,4.00E-08,5,47,-4,11,0.017595418
157,24:07.0,0.01,1.00E-07,7,19,7,8,0.007171872
123,22:18.6,0.001,1.00E-07,9,50,1,2,0.000385139
124,22:22.4,0.04,4.00E-08,5,20,-16,13,0.017596858
125,22:26.0,0.04,4.00E-08,5,33,21,20,0.017594738
126,22:29.9,0.04,4.00E-08,5,47,3,2,0.017594178
171,24:36.8,0.01,1.00E-07,7,14,5,11,0.007171772
30,18:26.3,0.01,1.00E-07,7,29,15,0,0.007171372
129,22:36.6,0.04,4.00E-08,5,37,-14,7,0.017594698
130,22:40.3,0.04,4.00E-08,5,14,-17,3,0.017594898
131,22:44.2,0.1,1.00E-07,3,31,13,4,0.06992337
132,22:47.8,0.1,1.00E-07,3,4,2,1,0.06992727
133,22:51.4,0.04,4.00E-08,5,15,5,19,0.017594178
134,22:52.7,0.001,1.00E-07,9,41,-14,1,0.000388539
135,22:56.2,0.1,1.00E-07,3,49,21,7,0.06992417
136,23:00.3,0.1,1.00E-07,3,24,-13,16,0.06992257
137,23:04.4,0.04,4.00E-08,5,22,-15,20,0.017595098
138,23:08.2,0.1,1.00E-07,3,41,-9,6,0.06992607
139,23:12.2,0.04,4.00E-08,5,44,17,16,0.017596378
140,23:15.8,0.04,4.00E-08,5,8,19,9,0.017595898
141,23:19.5,0.1,1.00E-07,3,42,-15,2,0.06992607
142,23:23.0,0.04,4.00E-08,5,41,-5,3,0.017594218
143,23:26.7,0.1,1.00E-07,3,22,16,9,0.06992387
144,23:30.5,0.04,4.00E-08,5,38,20,5,0.017595738
145,23:33.8,0.04,4.00E-08,5,24,0,8,0.017593898
146,23:37.3,0.1,1.00E-07,3,7,-2,1,0.06992317
147,23:41.1,0.04,4.00E-08,5,16,17,20,0.017594058
148,23:44.8,0.04,4.00E-08,5,24,20,15,0.017597898
149,23:48.4,0.04,4.00E-08,5,51,14,15,0.017595218
150,23:52.0,0.04,4.00E-08,5,23,3,12,0.017594698
151,23:55.7,0.1,1.00E-07,3,37,-14,17,0.06992227
152,23:59.7,0.04,4.00E-08,5,50,17,7,0.017596458
32,18:31.6,0.01,1.00E-07,7,39,-14,5,0.007171172
324,31:11.7,0.01,1.00E-07,7,33,-17,5,0.007171172
155,24:04.2,0.001,1.00E-07,9,48,-12,3,0.000388239
156,24:05.5,0.001,1.00E-07,9,48,-4,2,
74,20:08.0,0.01,1.00E-07,7,30,16,7,0.007171072
158,24:08.3,0.001,1.00E-07,9,41,-17,9,0.000386639
159,24:09.6,0.001,1.00E-07,9,39,15,10,0.000386839
370,33:18.5,0.01,1.00E-07,7,22,-6,17,0.007171072
230,27:10.0,0.01,1.00E-07,7,45,-14,4,0.007170972
162,24:16.6,0.04,4.00E-08,5,4,14,1,0.017595898
163,24:20.9,0.04,4.00E-08,5,38,-1,8,0.017595458
164,24:22.3,0.001,1.00E-07,9,30,-7,6,0.000387339
165,24:26.1,0.04,4.00E-08,5,8,5,6,0.017594498
166,24:27.6,0.001,1.00E-07,9,5,-3,13,0.000385939
167,24:28.9,0.001,1.00E-07,9,36,-5,6,0.000385339
168,24:30.2,0.001,1.00E-07,9,28,-4,6,0.000386439
169,24:31.4,0.001,1.00E-07,9,34,11,15,0.000386739
170,24:35.2,0.04,4.00E-08,5,42,-7,9,0.017594018
307,30:33.6,0.01,1.00E-07,7,6,-2,1,0.007170972
172,24:38.1,0.001,1.00E-07,9,26,-9,10,0.000386739
173,24:41.9,0.04,4.00E-08,5,2,1,9,0.017594538
174,24:43.3,0.001,1.00E-07,9,23,11,10,0.000386139
175,24:47.1,0.1,1.00E-07,3,14,-7,7,0.06992467
176,24:50.8,0.1,1.00E-07,3,2,10,9,0.06992407
177,24:54.5,0.1,1.00E-07,3,8,15,0,0.06992437
178,24:58.3,0.04,4.00E-08,5,1,20,15,0.017596658
179,25:02.6,0.1,1.00E-07,3,9,-14,18,0.06992237
390,34:15.7,0.01,1.00E-07,7,44,-15,19,0.007170972
365,33:04.6,0.01,1.00E-07,7,17,22,15,0.007170872
84,20:25.3,0.01,1.00E-07,7,14,14,7,0.007170772
183,25:11.7,0.04,4.00E-08,5,32,13,13,0.017594538
184,25:15.4,0.1,1.00E-07,3,5,8,1,0.06992157
185,25:19.4,0.1,1.00E-07,3,17,13,9,0.06992237
153,24:01.2,0.01,1.00E-07,7,29,-3,20,0.007170772
187,25:24.8,0.1,1.00E-07,3,48,14,13,0.06992387
188,25:28.3,0.1,1.00E-07,3,48,11,19,0.06992517
189,25:31.9,0.1,1.00E-07,3,36,-12,15,0.06992557
190,25:35.6,0.04,4.00E-08,5,49,9,5,0.017595378
191,25:39.3,0.1,1.00E-07,3,47,-16,19,0.06992337
192,25:43.3,0.04,4.00E-08,5,10,14,2,0.017595418
182,25:07.7,0.01,1.00E-07,7,23,-10,2,0.007170772
194,25:48.5,0.04,4.00E-08,5,28,-15,16,0.017596978
195,25:49.9,0.001,1.00E-07,9,5,9,0,0.000385739
196,25:51.2,0.001,1.00E-07,9,31,9,2,0.000385539
197,25:52.5,0.001,1.00E-07,9,49,2,18,0.000386239
322,31:06.4,0.01,1.00E-07,7,41,12,14,0.007170772
199,25:55.5,0.001,1.00E-07,9,47,16,8,0.000385439
200,25:56.8,0.001,1.00E-07,9,1,-14,18,0.000385139
201,25:58.1,0.001,1.00E-07,9,13,8,1,0.000385939
202,26:02.2,0.04,4.00E-08,5,47,-1,11,0.017594338
112,21:50.9,0.01,1.00E-07,7,16,21,17,0.007170672
204,26:07.3,0.04,4.00E-08,5,8,16,5,0.017597458
205,26:08.8,0.001,1.00E-07,9,43,12,7,0.000385439
206,26:10.1,0.001,1.00E-07,9,14,-7,14,0.000385739
207,26:14.1,0.1,1.00E-07,3,38,-2,11,0.06992607
208,26:15.6,0.001,1.00E-07,9,25,-15,14,0.000386039
209,26:19.3,0.1,1.00E-07,3,17,-10,12,0.06992307
210,26:20.7,0.001,1.00E-07,9,2,17,1,0.000385839
211,26:22.0,0.001,1.00E-07,9,1,-12,6,0.000385439
212,26:23.3,0.001,1.00E-07,9,46,-4,20,0.000387039
213,26:27.3,0.1,1.00E-07,3,17,14,19,0.06992437
214,26:31.1,0.04,4.00E-08,5,4,15,20,0.017594378
215,26:34.7,0.04,4.00E-08,5,23,12,10,0.017595178
331,31:31.9,0.01,1.00E-07,7,44,-7,2,0.007170672
217,26:39.8,0.04,4.00E-08,5,47,-1,16,0.017594538
373,33:25.5,0.01,1.00E-07,7,41,3,19,0.007170572
219,26:45.2,0.04,4.00E-08,5,14,20,11,0.017593818
220,26:46.6,0.001,1.00E-07,9,47,11,9,0.000386739
221,26:48.0,0.001,1.00E-07,9,13,-8,14,0.000386039
222,26:51.7,0.04,4.00E-08,5,50,20,7,0.017595618
223,26:53.1,0.001,1.00E-07,9,37,1,19,0.000385339
224,26:54.4,0.001,1.00E-07,9,44,12,2,0.000385939
225,26:58.4,0.1,1.00E-07,3,47,16,12,0.06992167
226,27:02.0,0.1,1.00E-07,3,9,2,15,0.06992517
227,27:05.6,0.1,1.00E-07,3,31,15,5,0.06992287
228,27:07.0,0.001,1.00E-07,9,29,-14,2,0.000386939
376,33:32.4,0.01,1.00E-07,7,45,4,9,0.007170572
21,17:57.0,0.01,1.00E-07,7,22,11,6,0.007170472
231,27:14.2,0.1,1.00E-07,3,28,13,1,0.06992637
232,27:17.9,0.04,4.00E-08,5,36,-15,1,0.017593698
233,27:21.4,0.1,1.00E-07,3,51,-17,11,0.06992547
234,27:25.1,0.04,4.00E-08,5,51,11,1,0.017595778
235,27:26.5,0.001,1.00E-07,9,19,4,17,0.000385239
236,27:30.3,0.1,1.00E-07,3,8,5,6,0.06992427
237,27:31.7,0.001,1.00E-07,9,7,14,1,
238,27:33.1,0.001,1.00E-07,9,39,0,15,0.000386739
239,27:36.8,0.1,1.00E-07,3,12,-1,11,0.06992367
240,27:40.6,0.04,4.00E-08,5,14,-1,7,0.017597418
56,19:37.5,0.01,1.00E-07,7,46,12,8,0.007170472
242,27:43.5,0.001,1.00E-07,9,50,-17,1,0.000385039
243,27:46.9,0.1,1.00E-07,3,14,18,3,0.06992107
244,27:51.0,0.04,4.00E-08,5,47,16,20,0.017594498
245,27:54.9,0.1,1.00E-07,3,21,-16,13,0.06992197
246,27:58.5,0.1,1.00E-07,3,17,-1,20,0.06992267
247,28:02.6,0.04,4.00E-08,5,39,-9,3,0.017597258
248,28:04.0,0.001,1.00E-07,9,37,15,9,0.000385239
61,19:44.2,0.01,1.00E-07,7,44,7,0,0.007170472
68,19:54.1,0.01,1.00E-07,7,44,-4,17,0.007170472
120,22:11.8,0.01,1.00E-07,7,45,-13,3,0.007170472
252,28:12.2,0.1,1.00E-07,3,5,20,1,0.06992287
216,26:36.4,0.01,1.00E-07,7,41,-3,11,0.007170472
254,28:17.7,0.1,1.00E-07,3,30,7,9,0.06992247
255,28:21.5,0.1,1.00E-07,3,8,10,6,0.06992177
256,28:22.9,0.001,1.00E-07,9,39,-10,15,0.000386339
264,28:44.1,0.01,1.00E-07,7,29,11,11,0.007170472
79,20:15.7,0.01,1.00E-07,7,45,7,1,0.007170372
259,28:27.4,0.001,1.00E-07,9,29,10,4,0.000385939
260,28:31.3,0.04,4.00E-08,5,34,6,4,0.017595218
261,28:34.9,0.1,1.00E-07,3,21,2,3,0.06992167
262,28:38.5,0.1,1.00E-07,3,47,12,19,0.06992297
263,28:42.5,0.1,1.00E-07,3,44,-9,10,0.06992277
160,24:11.2,0.01,1.00E-07,7,33,7,0,0.007170372
265,28:45.4,0.001,1.00E-07,9,20,19,16,0.000387039
161,24:12.8,0.01,1.00E-07,7,15,12,6,0.007170372
267,28:48.2,0.001,1.00E-07,9,11,-8,1,0.000385239
268,28:49.6,0.001,1.00E-07,9,5,-11,18,0.000385739
269,28:53.2,0.1,1.00E-07,3,50,-7,14,0.06992417
270,28:54.6,0.001,1.00E-07,9,20,22,10,0.000386239
271,28:58.4,0.1,1.00E-07,3,20,-17,9,0.06992687
266,28:46.9,0.01,1.00E-07,7,11,18,19,0.007170372
350,32:24.2,0.01,1.00E-07,7,36,-12,7,0.007170372
274,29:05.5,0.1,1.00E-07,3,23,-10,0,0.06992317
275,29:09.3,0.04,4.00E-08,5,40,-12,20,0.017594498
276,29:13.1,0.1,1.00E-07,3,37,-1,17,0.06992177
277,29:17.1,0.1,1.00E-07,3,25,-16,9,0.06992187
278,29:20.7,0.1,1.00E-07,3,19,12,15,0.06992227
279,29:22.1,0.001,1.00E-07,9,31,3,16,0.000385939
280,29:26.2,0.04,4.00E-08,5,6,12,17,0.017597058
281,29:30.1,0.1,1.00E-07,3,22,-9,10,0.06992257
282,29:31.5,0.001,1.00E-07,9,14,10,15,0.000386039
378,33:38.1,0.01,1.00E-07,7,14,2,2,0.007170272
88,20:35.3,0.01,1.00E-07,7,16,-7,1,0.007170172
285,29:38.0,0.1,1.00E-07,3,22,19,0,0.06992607
286,29:39.4,0.001,1.00E-07,9,41,8,5,0.000385539
287,29:43.5,0.1,1.00E-07,3,10,-12,2,0.06992147
288,29:45.0,0.001,1.00E-07,9,37,11,18,0.000385039
289,29:46.3,0.001,1.00E-07,9,17,-17,20,0.000386939
290,29:50.1,0.04,4.00E-08,5,40,-8,7,0.017594778
291,29:51.6,0.001,1.00E-07,9,19,-12,17,
292,29:55.4,0.04,4.00E-08,5,16,-4,4,0.017597338
293,29:59.3,0.04,4.00E-08,5,35,20,12,0.017594698
294,30:02.8,0.1,1.00E-07,3,11,-3,7,0.06992287
295,30:04.2,0.001,1.00E-07,9,10,13,4,0.000387039
296,30:07.8,0.1,1.00E-07,3,42,21,14,0.06992117
186,25:20.9,0.01,1.00E-07,7,0,-14,5,0.007170172
298,30:13.4,0.04,4.00E-08,5,37,-12,11,0.017595738
273,29:01.8,0.01,1.00E-07,7,0,-10,3,0.007170172
300,30:18.9,0.1,1.00E-07,3,47,-15,2,0.06992197
301,30:20.3,0.001,1.00E-07,9,38,-8,7,0.000386939
302,30:24.1,0.04,4.00E-08,5,10,-14,19,0.017597778
303,30:25.5,0.001,1.00E-07,9,40,15,18,
304,30:26.8,0.001,1.00E-07,9,13,12,16,0.000385639
305,30:30.7,0.1,1.00E-07,3,30,0,8,0.06992607
306,30:32.1,0.001,1.00E-07,9,48,14,2,0.000386339
315,30:49.4,0.01,1.00E-07,7,51,2,2,0.007170172
308,30:36.8,0.04,4.00E-08,5,49,5,1,0.017594938
309,30:38.2,0.001,1.00E-07,9,3,-5,12,0.000386539
310,30:39.5,0.001,1.00E-07,9,12,-5,18,0.000384938
311,30:43.6,0.1,1.00E-07,3,20,15,10,0.06992207
345,32:11.8,0.01,1.00E-07,7,1,-14,20,0.007170172
313,30:46.5,0.001,1.00E-07,9,38,-13,8,0.000385839
314,30:47.8,0.001,1.00E-07,9,28,20,10,0.000386339
198,25:54.2,0.01,1.00E-07,7,51,-6,1,0.007170072
316,30:53.1,0.1,1.00E-07,3,25,-15,16,0.06992147
317,30:54.5,0.001,1.00E-07,9,50,0,1,0.000385739
318,30:55.8,0.001,1.00E-07,9,48,1,11,0.000387539
319,30:59.5,0.1,1.00E-07,3,8,-2,10,0.06992567
320,31:03.2,0.1,1.00E-07,3,5,17,15,0.06992587
312,30:45.2,0.01,1.00E-07,7,1,18,18,0.007170072
396,34:29.8,0.01,1.00E-07,7,17,-14,2,0.007170072
323,31:10.1,0.04,4.00E-08,5,46,9,4,0.017594138
128,22:33.0,0.01,1.00E-07,7,43,-5,4,0.007169972
325,31:15.6,0.04,4.00E-08,5,19,3,3,0.017595738
326,31:17.0,0.001,1.00E-07,9,6,8,2,0.000386939
327,31:20.9,0.04,4.00E-08,5,14,11,13,0.017598338
328,31:24.6,0.04,4.00E-08,5,5,5,1,0.017599258
380,33:43.5,0.01,1.00E-07,7,46,17,17,0.007169972
330,31:30.4,0.1,1.00E-07,3,15,-8,17,0.06992197
77,20:12.4,0.01,1.00E-07,7,28,5,1,0.007169872
332,31:35.8,0.1,1.00E-07,3,29,8,6,0.06992217
333,31:39.9,0.1,1.00E-07,3,15,-11,8,0.06992627
334,31:43.5,0.04,4.00E-08,5,23,18,14,0.017593738
335,31:47.6,0.04,4.00E-08,5,40,13,2,0.017594138
272,29:00.1,0.01,1.00E-07,7,1,12,8,0.007169672
337,31:52.9,0.1,1.00E-07,3,5,21,13,0.06992277
338,31:54.5,0.01,1.00E-07,7,14,10,13,0.007169372
339,31:55.8,0.001,1.00E-07,9,29,-17,8,0.000386139
340,32:00.1,0.1,1.00E-07,3,28,15,16,0.06992177
341,32:01.6,0.001,1.00E-07,9,44,-3,19,0.000385939
342,32:02.9,0.001,1.00E-07,9,24,21,13,0.000385339
343,32:06.5,0.1,1.00E-07,3,16,21,12,0.06992177
344,32:10.2,0.04,4.00E-08,5,47,6,1,0.017595378
37,18:45.6,0.01,1.00E-07,7,7,9,1,
346,32:15.8,0.1,1.00E-07,3,5,-17,12,0.06992347
347,32:17.3,0.001,1.00E-07,9,35,18,17,0.000386439
49,19:23.2,0.01,1.00E-07,7,31,20,1,
349,32:22.7,0.04,4.00E-08,5,38,2,20,0.017594178
55,19:36.0,0.01,1.00E-07,7,41,17,13,
351,32:27.7,0.04,4.00E-08,5,46,17,13,0.017597138
76,20:10.9,0.01,1.00E-07,7,18,-11,13,
353,32:30.5,0.001,1.00E-07,9,51,12,20,0.000385539
354,32:34.6,0.1,1.00E-07,3,38,-13,4,0.06992227
355,32:36.1,0.001,1.00E-07,9,19,5,16,0.000386939
356,32:39.6,0.04,4.00E-08,5,41,-10,19,0.017594898
357,32:43.6,0.04,4.00E-08,5,23,9,20,0.017594138
358,32:47.1,0.04,4.00E-08,5,13,1,15,0.017597098
359,32:48.5,0.001,1.00E-07,9,50,19,1,0.000385739
78,20:14.1,0.01,1.00E-07,7,23,9,20,
361,32:53.7,0.04,4.00E-08,5,24,14,12,0.017598538
362,32:57.4,0.04,4.00E-08,5,36,-6,17,0.017595018
127,22:31.4,0.01,1.00E-07,7,34,4,5,
364,33:02.9,0.04,4.00E-08,5,3,-11,15,0.017594538
193,25:44.8,0.01,1.00E-07,7,8,-1,11,
366,33:08.2,0.04,4.00E-08,5,25,13,6,0.017594138
367,33:12.0,0.04,4.00E-08,5,6,0,11,0.017596538
368,33:15.6,0.1,1.00E-07,3,22,-15,11,0.06992197
369,33:17.1,0.001,1.00E-07,9,27,22,10,0.000385739
203,26:03.8,0.01,1.00E-07,7,24,5,9,
371,33:19.9,0.001,1.00E-07,9,19,16,7,0.000387039
372,33:23.9,0.1,1.00E-07,3,39,7,11,0.06992387
229,27:08.6,0.01,1.00E-07,7,47,-1,10,
249,28:05.5,0.01,1.00E-07,7,20,17,6,
375,33:30.9,0.1,1.00E-07,3,35,19,14,0.06992587
250,28:07.1,0.01,1.00E-07,7,4,19,20,
377,33:36.4,0.04,4.00E-08,5,0,17,20,0.017593818
257,28:24.6,0.01,1.00E-07,7,48,1,18,
379,33:42.0,0.04,4.00E-08,5,16,22,1,0.017596858
258,28:26.1,0.01,1.00E-07,7,32,7,3,
381,33:44.8,0.001,1.00E-07,9,30,11,11,0.000387839
382,33:48.5,0.04,4.00E-08,5,10,0,19,0.017594538
383,33:52.7,0.04,4.00E-08,5,32,-6,4,0.017594178
384,33:56.8,0.04,4.00E-08,5,47,18,14,0.017596898
299,30:14.8,0.01,1.00E-07,7,4,4,4,
386,34:02.2,0.1,1.00E-07,3,28,-3,0,0.06992287
387,34:06.1,0.1,1.00E-07,3,16,10,13,0.06992277
388,34:10.0,0.04,4.00E-08,5,37,-11,8,0.017596778
389,34:14.1,0.04,4.00E-08,5,19,13,0,0.017595658
321,31:04.8,0.01,1.00E-07,7,8,6,5,
391,34:17.1,0.001,1.00E-07,9,29,-10,12,0.000384338
348,32:18.9,0.01,1.00E-07,7,40,3,4,
393,34:22.8,0.04,4.00E-08,5,42,19,17,0.017596498
394,34:26.8,0.04,4.00E-08,5,43,4,2,0.017598258
395,34:28.3,0.001,1.00E-07,9,17,-2,1,0.000385839
360,32:50.0,0.01,1.00E-07,7,51,7,13,
397,34:33.8,0.04,4.00E-08,5,47,15,10,0.017594698
374,33:27.1,0.01,1.00E-07,7,49,-7,7,
